text,label
Action Required: Payment Failed - Your bank account needs to be verified urgently to comply with new regulations. Please log in here to complete the verification.,Phishing
Congratulations! You are selected - Lose 20 pounds in 2 weeks with our miracle pill. Order now and get a free trial.,Spam
Verify Your Bank Account - Your password will expire in 24 hours. Please click the link below to update your password and keep your account secure.,Phishing
Exclusive offer just for you - Buy one get one free on all designer watches. Limited time offer. Shop now.,Spam
"Netflix: Subscription Expired - We detected an unauthorized login attempt from a new device. If this wasn't you, click here to secure your account.",Phishing
Meeting notes - I have submitted a pull request for the new feature. Please review it when you have time.,Safe
Code review request - Can we reschedule our meeting to 3 PM? Thanks.,Safe
Lunch today? - I have submitted a pull request for the new feature. Please review it when you have time.,Safe
Invoice attached for review - The new feature has been launched successfully. Great job everyone!,Safe
Project update - The new feature has been launched successfully. Great job everyone!,Safe
Make money working from home - Lose 20 pounds in 2 weeks with our miracle pill. Order now and get a free trial.,Spam
Meeting notes - We are planning a team building event next month. Please vote on the location.,Safe
Meeting notes - Are we still on for lunch at 12? Let me know.,Safe
Code review request - Your recent Amazon order #12345 has been shipped and will arrive tomorrow.,Safe
"Hey, how are you? - We are planning a team building event next month. Please vote on the location.",Safe
Microsoft 365: Password Expiry Notice - Your Microsoft 365 password will expire soon. Click here to keep your current password.,Phishing
Invoice attached for review - Can we reschedule our meeting to 3 PM? Thanks.,Safe
Verify your Apple ID - Your password will expire in 24 hours. Please click the link below to update your password and keep your account secure.,Phishing
Lunch today? - I have submitted a pull request for the new feature. Please review it when you have time.,Safe
Lose weight fast - Invest in our new cryptocurrency and double your money in a week. Guaranteed returns.,Spam
"Team building event - Hey, just checking in to see how things are going.",Safe
Meeting notes - We are planning a team building event next month. Please vote on the location.,Safe
"Netflix: Subscription Expired - Your PayPal account has been limited. To lift the limitation, please log in and confirm your personal information here.",Phishing
Code review request - We are planning a team building event next month. Please vote on the location.,Safe
New feature launch - The project is on track for delivery next week. Thanks for your hard work.,Safe
Lunch today? - Please find the weekly report attached. Best regards.,Safe
"Meeting notes - Hi team, here are the meeting notes from yesterday. Let me know if you have any questions.",Safe
Your PayPal account has been limited - Your bank account needs to be verified urgently to comply with new regulations. Please log in here to complete the verification.,Phishing
"Critical Security Update - We detected an unauthorized login attempt from a new device. If this wasn't you, click here to secure your account.",Phishing
Project update - I have submitted a pull request for the new feature. Please review it when you have time.,Safe
Code review request - Are we still on for lunch at 12? Let me know.,Safe
Lunch today? - Can we reschedule our meeting to 3 PM? Thanks.,Safe
"Urgent: Account Suspended - Your Apple ID has been locked for security reasons. To unlock it, please verify your identity here.",Phishing
Make money working from home - Buy cheap medications online without a prescription. Fast shipping. Visit our website now.,Spam
Weekly report - I have submitted a pull request for the new feature. Please review it when you have time.,Safe
Cheap meds online - Huge clearance sale! Up to 90% off on electronics. Don't miss out. Visit our store.,Spam
New feature launch - Can we reschedule our meeting to 3 PM? Thanks.,Safe
Buy one get one free - Huge clearance sale! Up to 90% off on electronics. Don't miss out. Visit our store.,Spam
Lunch today? - Are we still on for lunch at 12? Let me know.,Safe
Team building event - Your recent Amazon order #12345 has been shipped and will arrive tomorrow.,Safe
Lunch today? - Can we reschedule our meeting to 3 PM? Thanks.,Safe
Invoice attached for review - The project is on track for delivery next week. Thanks for your hard work.,Safe
Weekly report - We are planning a team building event next month. Please vote on the location.,Safe
Lose weight fast - Buy one get one free on all designer watches. Limited time offer. Shop now.,Spam
Buy one get one free - Lose 20 pounds in 2 weeks with our miracle pill. Order now and get a free trial.,Spam
"Lunch today? - Hey, just checking in to see how things are going.",Safe
You won a lottery! - Buy cheap medications online without a prescription. Fast shipping. Visit our website now.,Spam
"Lunch today? - Hey, just checking in to see how things are going.",Safe
